# timestamp x y z qx qy qz qw
1766147820.603858948 208240.577083 2503040.148919 32.044134 0.027429 0.068757 -0.320449 0.944369
1766147820.623445511 208240.587473 2503040.140253 32.041778 0.027496 0.068857 -0.320684 0.944280
1766147820.644280910 208240.597874 2503040.131478 32.039390 0.027567 0.069010 -0.320918 0.944187
1766147820.668008566 208240.608295 2503040.122673 32.037042 0.027669 0.069125 -0.321152 0.944096
1766147820.683425426 208240.618720 2503040.113771 32.034661 0.027743 0.069252 -0.321389 0.944004
1766147820.703902483 208240.629202 2503040.104856 32.032309 0.027864 0.069376 -0.321624 0.943911
1766147820.723613977 208240.639702 2503040.095864 32.029942 0.027950 0.069484 -0.321859 0.943821
1766147820.743095875 208240.650254 2503040.086818 32.027554 0.028062 0.069630 -0.322086 0.943729
1766147820.813562632 208240.660825 2503040.077717 32.025169 0.028168 0.069721 -0.322318 0.943640
1766147820.823524714 208240.671410 2503040.068603 32.022711 0.028269 0.069843 -0.322545 0.943550
1766147820.828415155 208240.682120 2503040.059633 32.021285 0.028386 0.069925 -0.322780 0.943461
1766147820.834905624 208240.692942 2503040.050790 32.020775 0.028435 0.070006 -0.323023 0.943370
1766147820.843307495 208240.703845 2503040.041971 32.020294 0.028506 0.070106 -0.323264 0.943278
1766147820.865332603 208240.714808 2503040.033176 32.019757 0.028513 0.070158 -0.323522 0.943185
1766147820.883188248 208240.725809 2503040.024387 32.019213 0.028554 0.070252 -0.323781 0.943088
1766147820.903266668 208240.736885 2503040.015599 32.018642 0.028542 0.070311 -0.324055 0.942990
1766147820.923053265 208240.748012 2503040.006814 32.018041 0.028548 0.070372 -0.324332 0.942890
1766147820.943510056 208240.759216 2503039.997958 32.017466 0.028551 0.070457 -0.324596 0.942793
1766147820.971182346 208240.770477 2503039.989054 32.016879 0.028542 0.070515 -0.324851 0.942701
1766147820.983206749 208240.781789 2503039.980062 32.016320 0.028552 0.070635 -0.325091 0.942609
1766147821.005147219 208240.793170 2503039.971040 32.015743 0.028542 0.070686 -0.325328 0.942523
1766147821.023259163 208240.804569 2503039.961918 32.015159 0.028557 0.070804 -0.325549 0.942438
1766147821.043472528 208240.816027 2503039.952754 32.014554 0.028572 0.070877 -0.325779 0.942352
1766147821.064373493 208240.827509 2503039.943533 32.013935 0.028601 0.070949 -0.326018 0.942264
1766147821.083485126 208240.839035 2503039.934200 32.013304 0.028638 0.071041 -0.326248 0.942176
1766147821.103881121 208240.850590 2503039.924777 32.012658 0.028678 0.071085 -0.326485 0.942089
1766147821.123484135 208240.862183 2503039.915232 32.011987 0.028731 0.071196 -0.326707 0.942002
1766147821.143255949 208240.873825 2503039.905661 32.011312 0.028766 0.071234 -0.326943 0.941916
1766147821.170701981 208240.885537 2503039.896024 32.010609 0.028794 0.071334 -0.327186 0.941824
1766147821.183393717 208240.897294 2503039.886325 32.009875 0.028843 0.071382 -0.327436 0.941732
1766147821.203607559 208240.909077 2503039.876569 32.009063 0.028867 0.071444 -0.327688 0.941639
1766147821.223403931 208240.920916 2503039.866784 32.008227 0.028941 0.071487 -0.327955 0.941540
1766147821.243221283 208240.932771 2503039.856942 32.007316 0.028994 0.071489 -0.328219 0.941446
1766147821.271397591 208240.944675 2503039.847072 32.006339 0.029063 0.071522 -0.328486 0.941349
1766147821.284072876 208240.956652 2503039.837156 32.005331 0.029094 0.071510 -0.328751 0.941256
1766147821.303304672 208240.968772 2503039.827268 32.004253 0.029097 0.071551 -0.328999 0.941166
1766147821.323712587 208240.980989 2503039.817352 32.003181 0.029082 0.071527 -0.329242 0.941083
1766147821.343468428 208240.993278 2503039.807350 32.002004 0.029028 0.071528 -0.329482 0.941001
1766147821.371156216 208241.005677 2503039.797281 32.000822 0.029024 0.071508 -0.329720 0.940919
1766147821.383713007 208241.018155 2503039.787116 31.999558 0.028990 0.071477 -0.329958 0.940839
1766147821.403444290 208241.030749 2503039.776897 31.998334 0.029008 0.071471 -0.330199 0.940754
1766147821.423218489 208241.043451 2503039.766586 31.997120 0.028963 0.071470 -0.330438 0.940672
1766147821.443720102 208241.056288 2503039.756233 31.995913 0.028937 0.071511 -0.330672 0.940587
1766147821.469003916 208241.069241 2503039.745780 31.994743 0.028901 0.071564 -0.330901 0.940504
1766147821.483264685 208241.082266 2503039.735267 31.993549 0.028858 0.071608 -0.331136 0.940419
1766147821.503478289 208241.095363 2503039.724637 31.992412 0.028842 0.071696 -0.331350 0.940338
1766147821.532483101 208241.108557 2503039.713942 31.991249 0.028787 0.071758 -0.331562 0.940260
1766147821.543133736 208241.121824 2503039.703098 31.990165 0.028798 0.071876 -0.331767 0.940178
1766147821.569094896 208241.135142 2503039.692140 31.989097 0.028783 0.071972 -0.331970 0.940100
1766147821.583054543 208241.148536 2503039.681118 31.988079 0.028812 0.072096 -0.332172 0.940018
1766147821.603334427 208241.161989 2503039.670029 31.987101 0.028824 0.072227 -0.332364 0.939940
